Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,6961.720215,7159.330078,6388.910156,6780.959961,6780.959961,239673200
2000-01-08,6785.470215,7207.450195,6783.220215,7173.220215,7173.220215,215736400
2000-01-15,7177.479980,7306.479980,6939.939941,6992.750000,6992.750000,229195500
2000-01-22,6987.589844,7214.580078,6809.640137,7066.600098,7066.600098,198470200
2000-01-29,7054.240234,7491.790039,6816.540039,7444.609863,7444.609863,245145800
2000-02-05,7450.790039,7812.089844,7263.189941,7611.549805,7611.549805,282400700
2000-02-12,7569.009766,7699.970215,7342.649902,7573.779785,7573.779785,227729000
2000-02-19,7568.339844,7813.200195,7447.709961,7738.680176,7738.680176,191482900
2000-02-26,7732.899902,8022.479980,7492.229980,7960.029785,7960.029785,180611200
2000-03-04,7960.089844,8136.160156,7877.189941,7975.950195,7975.950195,230316300
2000-03-11,7977.060059,7991.069824,7411.759766,7710.919922,7710.919922,698519300
2000-03-18,7716.240234,7949.720215,7677.080078,7932.419922,7932.419922,188454600
2000-03-25,7932.709961,8031.209961,7522.700195,7599.390137,7599.390137,167058100
2000-04-01,7599.779785,7641.529785,7205.859863,7522.200195,7522.200195,203151800
2000-04-08,7534.910156,7614.810059,7168.899902,7214.830078,7214.830078,152424900
2000-04-15,7201.660156,7305.939941,6890.959961,7157.950195,7157.950195,151038800
2000-04-22,7164.149902,7444.279785,7096.379883,7414.680176,7414.680176,118783100
2000-04-29,7407.529785,7571.720215,7321.430176,7530.819824,7530.819824,109757600
2000-05-06,7532.970215,7532.970215,7013.700195,7269.279785,7269.279785,154595800
2000-05-13,7266.080078,7398.479980,6958.919922,6989.029785,6989.029785,156704800
2000-05-20,6983.459961,7040.569824,6794.080078,6938.330078,6938.330078,179952800
2000-05-27,6956.140137,7460.509766,6956.140137,7438.950195,7438.950195,135948400
2000-06-03,7456.220215,7486.399902,7211.970215,7254.529785,7254.529785,148022900
2000-06-10,7251.290039,7388.240234,7131.399902,7131.399902,7131.399902,344865200
2000-06-17,7134.169922,7270.200195,6976.970215,6980.410156,6980.410156,180243700
2000-06-24,6986.890137,7085.270020,6851.839844,6898.209961,6898.209961,156828700
2000-07-01,6912.970215,7090.109863,6842.609863,7052.220215,7052.220215,178870000
2000-07-08,7052.680176,7342.220215,6955.580078,7318.379883,7318.379883,175041800
